Red Fighter,Blue Fighter,Probability Win,Probability Lose
Marlon Vera,Pedro Munhoz,0.5458105351678312,0.4541894648321688
Mario Bautista,Da'Mon Blackshear,0.739077345245909,0.2609226547540911
Ian Garry,Neil Magny,0.6667237081751252,0.3332762918248749
Aljamain Sterling,Sean O'Malley,0.6436004242233301,0.3563995757766699
Michal Oleksiejczuk,Chidi Njokuani,0.664868684297394,0.335131315702606
Waldo Cortes-Acosta,Lukasz Brzeski,0.5935782154624158,0.406421784537584
Alex Caceres,Giga Chikadze,0.47615578472482856,0.5238442152751714
Anthony Smith,Ryan Spann,0.5206761141360289,0.4793238858639711
Chan Sung Jung,Max Holloway,0.33666235221062524,0.6633376477893747
Rhys McKee,Ange Loosa,0.2495362914438443,0.7504637085561557
Benoit Saint Denis,Thiago Moises,0.4366895116063767,0.5633104883936233
Serghei Spivac,Ciryl Gane,0.4564285361507876,0.5435714638492124
Jamie Mullarkey,John Makdessi,0.6516685229508131,0.3483314770491868
Carlos Ulberg,Da Woon Jung,0.5702807781608648,0.4297192218391352
Anton Turkalj,Tyson Pedro,0.433997630774767,0.566002369225233
Alexander Volkov,Tai Tuivasa,0.5772409277819124,0.4227590722180876
Israel Adesanya,Sean Strickland,0.47501896409209293,0.524981035907907
Josh Fremd,Roman Kopylov,0.5413277780178937,0.45867222198210644
Christos Giagos,Daniel Zellhuber,0.4887908926820369,0.5112091073179631
Kevin Holland,Jack Della Maddalena,0.29787550677875785,0.7021244932212423
Mohammed Usman,Jake Collier,0.5701871607105478,0.42981283928945224
Cody Brundage,Jacob Malkoun,0.21752413835308665,0.7824758616469134
Tim Means,Andre Fialho,0.5423341511062919,0.4576658488937081
Ricardo Ramos,Charles Jourdain,0.44223635417331525,0.5577636458266848
AJ Fletcher,Bryan Battle,0.44341018552662553,0.5565898144733745
Bryce Mitchell,Dan Ige,0.7271083185100686,0.2728916814899314
Mateusz Gamrot,Rafael Fiziev,0.49248123902627794,0.5075187609737221
Aoriqileng,Johnny Munoz,0.43634333420864835,0.5636566657913517
Bill Algeo,Alexander Hernandez,0.44295691446696156,0.5570430855330385
Drew Dober,Ricky Glenn,0.46832877827381497,0.531671221726185
Alex Morono,Joaquin Buckley,0.5637714246297125,0.4362285753702874
Abdul Razak Alhassan,Joe Pyfer,0.380820823974316,0.619179176025684
Grant Dawson,Bobby Green,0.7042170785720436,0.2957829214279564
Alatengheili,Chris Gutierrez,0.3304702202556241,0.6695297797443759
Darren Elkins,TJ Brown,0.5173573994004073,0.4826426005995928
Cameron Saaiman,Christian Rodriguez,0.4946604670500718,0.5053395329499282
Michel Pereira,Andre Petroski,0.6293950122007128,0.37060498779928713
Adrian Yanez,Jonathan Martinez,0.39154442103927184,0.6084555789607282
Edson Barboza,Sodiq Yusuff,0.29242523524149966,0.7075747647585002
Sedriques Dumas,Abu Azaitar,0.6938704355483487,0.3061295644516513
Muhammad Mokaev,Tim Elliott,0.7080858197334656,0.2919141802665345
Khamzat Chimaev,Kamaru Usman,0.4455170893227315,0.5544829106772685
Islam Makhachev,Alexander Volkanovski,0.5309894550962837,0.4690105449037162
Modestas Bukauskas,Vitor Petrino,0.42540611429708725,0.5745938857029127
Abus Magomedov,Caio Borralho,0.36342287524331574,0.6365771247566843
Don'Tale Mayes,Rodrigo Nascimento,0.37583250654752354,0.6241674934524765
Nicolas Dalby,Gabriel Bonfim,0.3768373699290885,0.6231626300709114
Jailton Almeida,Derrick Lewis,0.7668226885003645,0.23317731149963553
Kyung Ho Kang,John Castaneda,0.5673886322207263,0.43261136777927367
Jared Gordon,Mark Madsen,0.6084344747869683,0.3915655252130317
Mateusz Rebecki,Roosevelt Roberts,0.7363493978468607,0.26365060215313935
Diego Lopes,Pat Sabatini,0.31268922030501745,0.6873107796949827
Matt Frevola,Benoit Saint Denis,0.2704321202041612,0.7295678797958388
Sergei Pavlovich,Tom Aspinall,0.4651879072379387,0.5348120927620613
Alex Pereira,Jiri Prochazka,0.542912231240385,0.45708776875961493
Denis Tiuliulin,Christian Leroy Duncan,0.2838884173009406,0.7161115826990594
Joanderson Brito,Jonathan Pearce,0.3299318195411753,0.6700681804588247
Chase Hooper,Jordan Leavitt,0.4758328443095782,0.5241671556904217
Michael Morales,Jake Matthews,0.6074191246733602,0.39258087532663977
Brendan Allen,Paul Craig,0.7420840885108179,0.2579159114891822
Wellington Turman,Jared Gooden,0.6126430309061679,0.38735696909383205
Joe Solecki,Drakkar Klose,0.5018273511597212,0.4981726488402788
Dustin Stoltzfus,Punahele Soriano,0.39310523084974264,0.6068947691502574
Clay Guida,Joaquim Silva,0.48185475002359784,0.5181452499764021
Kelvin Gastelum,Sean Brady,0.29530682521982277,0.7046931747801772
Rob Font,Deiveson Figueiredo,0.383068823082154,0.616931176917846
Bobby Green,Jalin Turner,0.49292887543290237,0.5070711245670976
Arman Tsarukyan,Beneil Dariush,0.5592756487475945,0.4407243512524053
Tatsuro Taira,Carlos Hernandez,0.7018346665978659,0.2981653334021342
Steve Garcia,Melquizael Costa,0.39994767560820693,0.600052324391793
Andre Muniz,JunYong Park,0.41549644230331684,0.5845035576966833
Tim Elliott,Sumudaerji,0.41123611993267295,0.588763880067327
Jamie Mullarkey,Nasrat Haqparast,0.5791140651367364,0.4208859348632636
Khalil Rountree Jr.,Anthony Smith,0.4155489548009596,0.5844510451990403
Chris Gutierrez,Song Yadong,0.6072809124386883,0.3927190875613117
Andre Fili,Lucas Almeida,0.6053673068250898,0.3946326931749103
Cody Durden,Tagir Ulanbekov,0.564868904792943,0.43513109520705706
Cody Garbrandt,Brian Kelleher,0.6038807597479011,0.3961192402520989
Dustin Jacoby,Alonzo Menifield,0.4711858726680491,0.5288141273319509
Josh Emmett,Bryce Mitchell,0.22046550147546112,0.7795344985245388
Tony Ferguson,Paddy Pimblett,0.3741740378836445,0.6258259621163555
Stephen Thompson,Shavkat Rakhmonov,0.20439032584603262,0.7956096741539674
Alexandre Pantoja,Brandon Royval,0.5961575373510588,0.40384246264894125
Leon Edwards,Colby Covington,0.580482986861018,0.4195170131389821
Sam Alvey,Michal Oleksiejczuk,0.29906827932483776,0.7009317206751622
Augusto Sakai,Serghei Spivac,0.39049043665587724,0.6095095633441229
Geoff Neal,Vicente Luque,0.48647952907000913,0.5135204709299909
Thiago Santos,Jamahal Hill,0.6034787808023064,0.39652121919769356
Tyson Nam,Ode Osbourne,0.45702679363273335,0.5429732063672666
Charlie Ontiveros,Gabriel Benitez,0.3422967437822633,0.6577032562177367
Bruno Silva,Gerald Meerschaert,0.49408809705393947,0.5059119029460606
David Onama,Nate Landwehr,0.5567724765601632,0.4432275234398368
Dominick Cruz,Marlon Vera,0.5212239274368544,0.4787760725631456
Amir Albazi,Francisco Figueiredo,0.6449490918816668,0.3550509081183332
Jared Gordon,Leonardo Santos,0.5128638497679374,0.4871361502320627
Marcin Tybura,Alexandr Romanov,0.27323410429929296,0.726765895700707
Tyson Pedro,Harry Hunsucker,0.7074066156036579,0.292593384396342
Merab Dvalishvili,Jose Aldo,0.6043194378589701,0.39568056214102987
Paulo Costa,Luke Rockhold,0.52957029721717,0.47042970278283003
Kamaru Usman,Leon Edwards,0.6012499343484212,0.3987500656515787
Nasrat Haqparast,John Makdessi,0.42011567093670577,0.5798843290632942
Charles Jourdain,Nathaniel Wood,0.4194340313387551,0.5805659686612449
Roman Kopylov,Alessio Di Chirico,0.4106799183610671,0.5893200816389329
Nassourdine Imavov,Joaquin Buckley,0.5744436481558213,0.42555635184417867
Robert Whittaker,Marvin Vettori,0.5904558593520214,0.4095441406479785
Tai Tuivasa,Ciryl Gane,0.343853509378991,0.656146490621009
Jake Collier,Chris Barnett,0.6659346916694375,0.3340653083305626
Hakeem Dawodu,Julian Erosa,0.6843244465472627,0.3156755534527374
