id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_opponentexp,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_opponentexp,result,method,round,time
8013,UFC 69: Shootout,"Apr. 07, 2007",Matt Serra,170 lbs.,"5' 6""","68""","Jun 02, 1974",-0.1111111111111111,-4.777777777777778,1.1111111111111112,0.5555555555555556,0.5555555555555556,1,9,5,11-7-0,1,0.487037037037037,Georges St-Pierre,185 lbs.,"5' 11""","76""","May 19, 1981",0.2857142857142857,21,1.9285714285714286,0.14285714285714285,0.9285714285714286,6,14,13,26-2-0,2,0.5812314399443989,win,KO/TKO,1,3:25
8014,UFC 83: Serra vs St-Pierre 2,"Apr. 19, 2008",Matt Serra,170 lbs.,"5' 6""","68""","Jun 02, 1974",0.1,-2.9,1,0.5,0.6,2,10,6,11-7-0,2,0.5311904761904762,Georges St-Pierre,185 lbs.,"5' 11""","76""","May 19, 1981",0.11764705882352941,19.823529411764707,1.8235294117647058,0.5882352941176471,0.8823529411764706,2,17,15,26-2-0,4,0.5812314399443989,loss,KO/TKO,2,4:45
8015,UFC 109: Relentless,"Feb. 06, 2010",Matt Serra,170 lbs.,"5' 6""","68""","Jun 02, 1974",0.16666666666666666,-7.333333333333333,0.3333333333333333,0.4166666666666667,0.5,0,12,6,11-7-0,3,0.5786881419234361,Frank Trigg,170 lbs.,"5' 9""","71""","May 07, 1972",0.1111111111111111,9.444444444444445,0.5555555555555556,-0.8888888888888888,0.5555555555555556,0,9,5,21-9-0,2,0.5812314399443989,win,KO/TKO,1,2:23
8016,UFC Fight Night: Henderson vs Masvidal,"Nov. 28, 2015",Fredy Serrano,125 lbs.,"5' 3""","65""","Sep 22, 1979",1,5,2,0,1.0,1,1,1,3-2-0,0,0.0,Yao Zhikui,125 lbs.,"5' 5""","64""","Feb 07, 1991",0,-17,-1,0,0.5,1,2,1,2-4-0,0,0.20833333333333331,win,KO/TKO,1,0:44
8017,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-8,2,1,1.0,1,1,1,101-19-1,0,0.0,Marcus Bossett,,,,,,,,,,,,,,,,win,SUB,1,0:52
8018,UFC 5: The Return of the Beast,"Apr. 07, 1995",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-1.6666666666666667,1.3333333333333333,-0.3333333333333333,0.6666666666666666,0,3,2,101-19-1,1,0.3333333333333333,Joe Charles,,,,,,,,,,,,,,,,win,SUB,1,1:38
8019,UFC 5: The Return of the Beast,"Apr. 07, 1995",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-1,1.25,0,0.75,1,4,3,101-19-1,1,0.5,Oleg Taktarov,210 lbs.,"6' 0""",--,"Aug 26, 1967",0,-2,0,1,1.0,1,1,1,17-5-2,0,0.5208333333333333,win,KO/TKO,1,4:21
8020,UFC 6: Clash of the Titans,"Jul. 14, 1995",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,0.8333333333333334,1.1666666666666667,0.16666666666666666,0.8333333333333334,3,6,5,101-19-1,2,0.3333333333333333,Ken Shamrock,205 lbs.,"6' 1""","72""","Feb 11, 1964",0,2.4,0.8,0.4,0.6,0,5,3,28-17-2,1,0.5208333333333333,loss,SUB,1,2:14
8021,UFC - Ultimate Ultimate '95,"Dec. 16, 1995",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,0.7142857142857143,1,-0.14285714285714285,0.7142857142857143,0,7,5,101-19-1,3,0.37142857142857144,Paul Varelans,300 lbs.,"6' 8""",--,--,0,-6.6,0.2,0.6,0.6,0,5,3,9-9-0,1,0.5208333333333333,win,SUB,1,1:01
8022,UFC - Ultimate Ultimate '95,"Dec. 16, 1995",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,6.444444444444445,1,0.1111111111111111,0.7777777777777778,2,9,7,101-19-1,3,0.42962962962962964,Oleg Taktarov,210 lbs.,"6' 0""",--,"Aug 26, 1967",0,-8,-0.625,1,0.75,2,8,6,17-5-2,2,0.5208333333333333,win,U-DEC,2,3:00
