id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,result,method,round,time
43,UFC 5: The Return of the Beast,"Apr. 07, 1995",Jon Hess,295 lbs.,"6' 7""",--,--,0,15,0,0,1.0,1,0,1,1,1-1-0,0,0,1825.0,1016.0,984.0,Andy Anderson,240 lbs.,"5' 6""",--,"Jul 16, 1974",0,-15,0,0,0.0,0,1,1,0,0-1-0,0,0,1555.0,984.0,1016.0,win,KO/TKO,1,1:23
44,UFC 5: The Return of the Beast,"Apr. 07, 1995",Todd Medina,193 lbs.,"5' 10""",--,--,0,-2.5,0,0.5,0.5,1,0,2,1,11-9-0 (1 NC),0,0,1825.0,1000.1372477443227,993.1104073643916,Dave Beneteau,250 lbs.,"6' 2""",--,--,0,8,0.5,-0.25,0.75,3,0,4,3,6-5-1,1,0,1825.0,1033.2552667343678,1000.6156384780979,loss,KO/TKO,1,2:12
45,UFC 5: The Return of the Beast,"Apr. 07, 1995",Todd Medina,193 lbs.,"5' 10""",--,--,0,-4.333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,3,1,11-9-0 (1 NC),0,0,1825.0,985.6577863853746,1011.3185142740331,Larry Cureton,240 lbs.,"6' 2""",--,--,0,-3,-1,-1,0.0,0,1,1,0,0-2-0,0,0,1825.0,983.2348404693108,1000.1372477443227,win,SUB,1,2:55
46,UFC 5: The Return of the Beast,"Apr. 07, 1995",Guy Mezger,200 lbs.,"6' 1""",--,"Jan 01, 1968",-0.3333333333333333,10.666666666666666,0.6666666666666666,0,1.0,3,0,3,3,30-14-2,0,0,833.0,1045.1281248226185,979.6239583924604,John Dowdy,--,--,--,--,-1,-12,0,0,0.0,0,1,1,0,0-1-0,0,0,1825.0,985.4023736484061,1045.1281248226185,win,KO/TKO,1,2:02
47,UFC 5: The Return of the Beast,"Apr. 07, 1995",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-1.8571428571428572,1.2857142857142858,0.42857142857142855,0.8571428571428571,5,0,7,6,101-19-1,2,1,4327.0,1079.6853162246007,1017.3731745159595,Dave Beneteau,250 lbs.,"6' 2""",--,--,0,8,0.6,-0.2,0.8,4,0,5,4,6-5-1,1,0,1825.0,1047.7347280933159,997.6240680595532,win,SUB,1,3:01
48,UFC 5: The Return of the Beast,"Apr. 07, 1995",Oleg Taktarov,210 lbs.,"6' 0""",--,"Aug 26, 1967",0,-9,-1,0,0.0,0,1,1,0,17-5-2,0,0,961.0,988.2355807118737,1105.9824903193426,Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-0.4444444444444444,1.2222222222222223,0.4444444444444444,0.8888888888888888,7,0,9,8,101-19-1,3,2,4327.0,1105.9824903193426,1015.8944195122544,loss,KO/TKO,1,4:21
49,UFC 5: The Return of the Beast,"Apr. 07, 1995",Ernie Verdicia,199 lbs.,"5' 11""",--,--,0,2,0,-1,0.0,0,1,1,0,0-1-0,0,0,1825.0,982.9634274238326,994.4961141163978,Oleg Taktarov,210 lbs.,"6' 0""",--,"Aug 26, 1967",0,-6.666666666666667,-0.6666666666666666,0.3333333333333333,0.3333333333333333,1,0,3,1,17-5-2,0,0,961.0,994.4961141163978,1068.5681490780537,loss,SUB,1,2:23
50,UFC 6: Clash of the Titans,"Jul. 14, 1995",Dave Beneteau,250 lbs.,"6' 2""",--,--,0,6.666666666666667,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0,1,6,4,6-5-1,2,0,1825.0,1033.2019732867004,1013.7230685548303,Oleg Taktarov,210 lbs.,"6' 0""",--,"Aug 26, 1967",0,-7,-0.8,1,0.6,3,0,5,3,17-5-2,1,1,1059.0,1025.506420199272,1031.5315137150242,loss,SUB,1,0:57
51,UFC 6: Clash of the Titans,"Jul. 14, 1995",Anthony Macias,185 lbs.,"5' 9""",--,--,0,5.333333333333333,-1.3333333333333333,-0.6666666666666666,0.3333333333333333,1,0,3,1,26-18-0,0,0,1825.0,988.1036935406696,1018.8555465191707,Oleg Taktarov,210 lbs.,"6' 0""",--,"Aug 26, 1967",0,-6.666666666666667,-0.8333333333333334,1,0.6666666666666666,4,0,6,4,17-5-2,1,1,1059.0,1041.86075557148,1029.084201081602,loss,SUB,1,0:09
52,UFC 6: Clash of the Titans,"Jul. 14, 1995",Anthony Macias,185 lbs.,"5' 9""",--,--,0,4,-1,-0.75,0.25,0,1,4,1,26-18-0,0,0,1825.0,974.5597298496712,1027.9928397049976,He-Man Gipson,--,--,--,--,0,0,0,0,0.0,0,1,1,0,1-2-0,0,0,1825.0,982.656633330806,988.1036935406696,win,KO/TKO,1,3:06
